t,aerospike,bell
5.01,1026.972826,982.3879387
5.02,1031.10306,986.3424942
5.03,1035.241558,990.3049732
5.04,1039.388317,994.2753756
5.05,1043.543339,998.253701
5.06,1047.706621,1002.239949
5.07,1051.878166,1006.23412
5.08,1056.057971,1010.236213
5.09,1060.246038,1014.246228
5.1,1064.442365,1018.264165
5.11,1068.646952,1022.290024
5.12,1072.8598,1026.323803
5.13,1077.080907,1030.365504
5.14,1081.310274,1034.415126
5.15,1085.5479,1038.472667
5.16,1089.793786,1042.538129
5.17,1094.04793,1046.611511
5.18,1098.310333,1050.692813
5.19,1102.580994,1054.782034
5.2,1106.859914,1058.879174
5.21,1111.147091,1062.984234
5.22,1115.442526,1067.097211
5.23,1119.746219,1071.218108
5.24,1124.058169,1075.346922
5.25,1128.378376,1079.483655
5.26,1132.706839,1083.628305
5.27,1137.04356,1087.780873
5.28,1141.388536,1091.941357
5.29,1145.741769,1096.109759
5.3,1150.103257,1100.286077
5.31,1154.473001,1104.470312
5.32,1158.851001,1108.662464
5.33,1163.237256,1112.862531
5.34,1167.631766,1117.070514
5.35,1172.034531,1121.286413
5.36,1176.44555,1125.510227
5.37,1180.864824,1129.741956
5.38,1185.292352,1133.981601
5.39,1189.728134,1138.22916
5.4,1194.172169,1142.484633
5.41,1198.624459,1146.748021
5.42,1203.085001,1151.019323
5.43,1207.553796,1155.298538
5.44,1212.030845,1159.585668
5.45,1216.516145,1163.880711
5.46,1221.009698,1168.183667
5.47,1225.511502,1172.494536
5.48,1230.021559,1176.813318
5.49,1234.539867,1181.140013
5.5,1239.066425,1185.47462
5.51,1243.601235,1189.817139
5.52,1248.144296,1194.167571
5.53,1252.695607,1198.525914
5.54,1257.255168,1202.892169
5.55,1261.822979,1207.266336
5.56,1266.39904,1211.648414
5.57,1270.983351,1216.038403
5.58,1275.575911,1220.436303
5.59,1280.176721,1224.842114
5.6,1284.785779,1229.255835
5.61,1289.403086,1233.677467
5.62,1294.028642,1238.107009
5.63,1298.662446,1242.544461
5.64,1303.304498,1246.989822
5.65,1307.954798,1251.443094
5.66,1312.613345,1255.904274
5.67,1317.280141,1260.373364
5.68,1321.955183,1264.850362
5.69,1326.638473,1269.335269
5.7,1331.33001,1273.828084
5.71,1336.029794,1278.328808
