        p           t         gam         rho          mw
   1.5476E+01  3.1339E+03  1.1446E+00  1.6057E+00  2.7036E+01
   2.7579E+01  3.3239E+03  1.1471E+00  2.6660E+00  2.6716E+01
   1.5871E+01  3.1361E+03  1.1447E+00  1.6460E+00  2.7042E+01
   2.1374E+01  3.2963E+03  1.1446E+00  2.0900E+00  2.6800E+01
   1.2314E+01  3.1150E+03  1.1416E+00  1.2901E+00  2.7134E+01
   2.2063E+01  3.2996E+03  1.1448E+00  2.1558E+00  2.6807E+01
   1.2711E+01  3.1178E+03  1.1418E+00  1.3308E+00  2.7141E+01
   2.2753E+01  3.3028E+03  1.1450E+00  2.2216E+00  2.6814E+01
   1.3107E+01  3.1205E+03  1.1420E+00  1.3714E+00  2.7147E+01
   2.3442E+01  3.3059E+03  1.1451E+00  2.2874E+00  2.6821E+01
   1.3503E+01  3.1231E+03  1.1422E+00  1.4120E+00  2.7154E+01
   2.4132E+01  3.3089E+03  1.1453E+00  2.3531E+00  2.6827E+01
   1.3899E+01  3.1256E+03  1.1424E+00  1.4526E+00  2.7160E+01
   2.4821E+01  3.3119E+03  1.1455E+00  2.4188E+00  2.6834E+01
   1.4296E+01  3.1281E+03  1.1425E+00  1.4932E+00  2.7166E+01
   2.5511E+01  3.3147E+03  1.1457E+00  2.4844E+00  2.6840E+01
   1.4692E+01  3.1305E+03  1.1427E+00  1.5337E+00  2.7172E+01
   2.6200E+01  3.3175E+03  1.1458E+00  2.5500E+00  2.6846E+01
   1.5088E+01  3.1328E+03  1.1429E+00  1.5743E+00  2.7177E+01
   2.6889E+01  3.3202E+03  1.1460E+00  2.6155E+00  2.6852E+01
   1.5484E+01  3.1350E+03  1.1430E+00  1.6148E+00  2.7183E+01
   2.7579E+01  3.3228E+03  1.1461E+00  2.6810E+00  2.6858E+01
   1.5880E+01  3.1372E+03  1.1432E+00  1.6552E+00  2.7188E+01
