x,y,M,mu,V,theta,T,p,a,rho
5.581808448165925113e-03,-5.337961394760494527e-02,2.728450735222501589e+00,3.752534542402461426e-01,7.287158791134372677e+02,3.110227946331892146e-01,1.504367404728170186e+03,1.143348761261866166e+05,2.670804606094570204e+02,2.346150785570309261e-01
5.652505452930744502e-03,-5.338416111780835277e-02,2.747010525101463596e+00,3.725933842872716228e-01,7.313369667781474845e+02,3.019950732921374836e-01,1.494803435856796341e+03,1.105915288800499693e+05,2.662301291150440647e+02,2.283856877538004149e-01
5.723942732473563666e-03,-5.338921286471637329e-02,2.765574612010623490e+00,3.699711228145863284e-01,7.339336924000525642e+02,2.930152249681579613e-01,1.485294499325297920e+03,1.069685705543474760e+05,2.653819894110429800e+02,2.223180525444312106e-01
5.796127627134304433e-03,-5.339477891020032174e-02,2.784143196584852209e+00,3.673858202372915494e-01,7.365062955327771306e+02,2.840832063828524490e-01,1.475840661869808855e+03,1.034623273132327158e+05,2.645360685600535930e+02,2.164082840876247749e-01
5.869067435038104012e-03,-5.340086908059897552e-02,2.802716480072968697e+00,3.648366527483009603e-01,7.390550142027641414e+02,2.751989642192254615e-01,1.466441974763212329e+03,1.000692235832422739e+05,2.636923925260977057e+02,2.106525675391144325e-01
5.942769413729707267e-03,-5.340749330681837659e-02,2.821294664446931666e+00,3.623228213110484819e-01,7.415800848945367534e+02,2.663624355550888168e-01,1.457098474253539734e+03,9.678578030406625476e+04,2.628509861942801535e+02,2.050471617591703988e-01
6.017240781723654647e-03,-5.341466162443969656e-02,2.839877952506327130e+00,3.598435507006329526e-01,7.440817425363266011e+02,2.575735482797362752e-01,1.447810181996560459e+03,9.360861315334854589e+04,2.620118733904177475e+02,1.995883989488753674e-01
6.092488719975933976e-03,-5.342238417383522037e-02,2.858466547978486982e+00,3.573980885906172245e-01,7.465602204861243081e+02,2.488322214945713762e-01,1.438577105482353772e+03,9.053443075028840394e+04,2.611750769006176256e+02,1.942726842199359871e-01
6.168520373282032274e-03,-5.343067120029235118e-02,2.877060655614493090e+00,3.549857046828953089e-01,7.490157505181927036e+02,2.401383658983661795e-01,1.429399238455711156e+03,8.756003284253987658e+04,2.603406184907893248e+02,1.890964951026414820e-01
6.245342851605993270e-03,-5.343953305414565758e-02,2.895660481281340459e+00,3.526056898782051752e-01,7.514485628100796930e+02,2.314918841577872921e-01,1.420276561330198092e+03,8.468230848061597499e+04,2.595085189260727816e+02,1.840563809963883801e-01
6.322963231345041235e-03,-5.344898019091687269e-02,2.914266232050486849e+00,3.502573554850267890e-01,7.538588859301640923e+02,2.228926712637896435e-01,1.411209041595770032e+03,8.189823418374620087e+04,2.586787979901707786e+02,1.791489625670341923e-01
6.401388556533747949e-03,-5.345902317146285915e-02,2.932878116283021086e+00,3.479400324647500820e-01,7.562469468257610288e+02,2.143406148744509132e-01,1.402196634219808402e+03,7.920487210086731648e+04,2.578514745045694667e+02,1.743709310951535307e-01
6.480625839991550549e-03,-5.346967266213149828e-02,2.951496343711648596e+00,3.456530707111327150e-01,7.586129708118077133e+02,2.058355956448027213e-01,1.393239282041493198e+03,7.659936817018305010e+04,2.570265663476362761e+02,1.697190477791105934e-01
6.560682064417167753e-03,-5.348093943492555208e-02,2.970121125519701089e+00,3.433958383621941168e-01,7.609571815601497065e+02,1.973774875441701160e-01,1.384336916159426892e+03,7.407895028048710083e+04,2.562040904735830509e+02,1.651901429966905199e-01
6.641564183433204364e-03,-5.349283436767439393e-02,2.988752674417345379e+00,3.411677211428074119e-01,7.632798010894424579e+02,1.889661581615203478e-01,1.375489456312442371e+03,7.164092643721222703e+04,2.553840629312839496e+02,1.607811155288631222e-01
